epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,16943.7,0.44366,0.2809,0.734,0.99984,1,0.995,0.93048,0.42935,0.30582,0.79905,0.0008186,0.0008186,0.0008186
181,17037.7,0.45419,0.28468,0.74917,0.99985,1,0.995,0.91516,0.45425,0.32516,0.80141,0.000812,0.000812,0.000812
182,17132.5,0.43047,0.2661,0.73112,0.99986,1,0.995,0.92643,0.43027,0.30224,0.80114,0.0008054,0.0008054,0.0008054
183,17228.5,0.43827,0.27935,0.71914,0.99993,1,0.995,0.92511,0.42771,0.31504,0.79874,0.0007988,0.0007988,0.0007988
184,17323.4,0.44787,0.28346,0.73855,0.99992,1,0.995,0.9243,0.43327,0.29603,0.80009,0.0007922,0.0007922,0.0007922
185,17417.3,0.45025,0.28499,0.73721,0.99991,1,0.995,0.92672,0.43508,0.31952,0.79974,0.0007856,0.0007856,0.0007856
186,17511,0.44258,0.28137,0.74157,0.99991,1,0.995,0.92553,0.42797,0.31024,0.79993,0.000779,0.000779,0.000779
187,17605.8,0.43948,0.28235,0.7363,0.9999,1,0.995,0.93667,0.41998,0.29493,0.79763,0.0007724,0.0007724,0.0007724
188,17699.4,0.43077,0.27935,0.73674,0.99993,1,0.995,0.93823,0.41466,0.2799,0.7975,0.0007658,0.0007658,0.0007658
189,17792.5,0.42448,0.27088,0.72177,0.99992,1,0.995,0.92793,0.43121,0.30527,0.7996,0.0007592,0.0007592,0.0007592
190,17884,0.43632,0.28406,0.73859,0.99961,1,0.995,0.93145,0.41592,0.28652,0.7979,0.0007526,0.0007526,0.0007526
